,position_name,company_name,job_location,Seniority level,Employment type,Job function,Industries,sql, python , excel , r , tableau , power bi ,collection_date,search
20,Data Analyst (Health Informatics),Morgan McKinley,"Cork, County Cork, Ireland",Entry level,Full-time,Information Technology,Staffing and Recruiting,1,0,1,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
21,Data Analyst,Reperio Human Capital,"Dublin, County Dublin, Ireland",Entry level,Contract,Information Technology,Staffing and Recruiting,1,0,0,0,1,1,25/08/2022," ""Data"" ""Analyst"" "
22,Data Analyst,Reperio Human Capital,"Dublin, County Dublin, Ireland",Entry level,Full-time,Information Technology,Staffing and Recruiting,1,1,0,0,1,0,25/08/2022," ""Data"" ""Analyst"" "
23,Data Analyst,Reperio Human Capital,"Dublin, County Dublin, Ireland",Entry level,Contract,Information Technology,Staffing and Recruiting,1,1,0,0,1,0,25/08/2022," ""Data"" ""Analyst"" "
24,Data Analyst,Reperio Human Capital,"Dublin, County Dublin, Ireland",Entry level,Full-time,Information Technology,Staffing and Recruiting,1,1,1,1,1,0,25/08/2022," ""Data"" ""Analyst"" "
25,English Media Search Analyst (100% Remote),TELUS International AI Data Solutions,"Dublin 4, County Dublin, Ireland",Entry level,Part-time,Research and Analyst,IT Services and IT Consulting,0,0,0,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
26,English Media Search Analyst (100% Remote),TELUS International AI Data Solutions,"Dublin 12, County Dublin, Ireland",Entry level,Part-time,Research and Analyst,IT Services and IT Consulting,0,0,0,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
27,Documentation Analyst - part time 3 day role - work from home,Eurofins BioPharma Product Testing Ireland Ltd,"Ringaskiddy, County Cork, Ireland",Entry level,Part-time,Administrative,Pharmaceutical Manufacturing,0,0,0,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
28,Data Quality Analyst,Viatris,"Northern Cross, County Dublin, Ireland",Entry level,Full-time,Information Technology,Pharmaceutical Manufacturing,1,0,0,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
29,Data Analyst (Health Informatics),Morgan McKinley,"Cork, County Cork, Ireland",Entry level,Full-time,Information Technology,Staffing and Recruiting,1,0,1,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
30,Outsourcing Data Analyst,Trust In SODA,"Dublin, County Dublin, Ireland",Entry level,Full-time,Finance,Insurance,0,0,1,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
31,Data Analyst,Reperio Human Capital,"Dublin, County Dublin, Ireland",Entry level,Full-time,Information Technology,Staffing and Recruiting,1,1,0,1,0,0,25/08/2022," ""Data"" ""Analyst"" "
32,QA and Complaints Analyst,Sedgwick,"Dublin, County Dublin, Ireland",Entry level,Full-time,Quality Assurance,"Claims Adjusting, Actuarial Services",0,0,1,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
33,Product Operations Data Analyst,Fenergo,"Dublin, County Dublin, Ireland",Entry level,Full-time,Product Management and Marketing,Financial Services,1,1,0,1,0,0,25/08/2022," ""Data"" ""Analyst"" "
34,Data Analyst - Safety & Security,Ryanair - Europe's Favourite Airline,"Dublin, County Dublin, Ireland",Entry level,Full-time,Analyst,Airlines and Aviation,0,0,0,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
35,English Media Search Analyst,TELUS International AI Data Solutions,Greater Dublin,Entry level,Part-time,Information Technology and Research,IT Services and IT Consulting,0,0,0,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
36,Client Services Analyst,StatPro,"Dublin, County Dublin, Ireland",Entry level,Full-time,Information Technology,Financial Services,0,0,0,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
37,English Media Search Analyst,TELUS International AI Data Solutions,Ireland,Entry level,Part-time,"Research, Analyst, and Other",IT Services and IT Consulting,0,0,0,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
38,Forensic Data Analyst,Realtime Recruitment,Ireland,Entry level,Full-time,Information Technology,Staffing and Recruiting,1,0,0,0,1,0,25/08/2022," ""Data"" ""Analyst"" "
